SiteN,Etheostoma_radiosum,Lepomis_megalotis,Lepomis_macrochirus,Lepomis_gulosus,Lepomis_cyanellus,Lepomis_marginatus,Lepomis_humilis,Lepomis_microlophus,Lepomis_spp,Micopterus_punctulatus,Micropterous_salmoides ,Etheostoma_parvipinne,Etheostoma_spectabile,Etheostomas_chlorosoma ,Etheostoma_gracile,Percina_sciera,Percina_phoxoxephala,Percina_caprodes,Fundulus_notatus,Fundulus_olivaceus,Campostoma_spacideum,Campostoma_anomalum,Nototropis_boops,Notropis_stramineus,Notropis_texanus,Notropis_volucellus,Cyprinella_venusta,Cyprinella_lutrensis,Pimephales_vigilax,Pimephales_notatus,Gambusia_affinis,Noturus_eleutherus,Noturus_sp,Ameiurus_natalis,Erimyzon_oblongus,Ictalurus_punctatus,Esox_americanus,Semotilus_atromaculatus,Lepisosteus_oculatus,Labidesthes_sicculus,Notemigonus_crysoleucas,Dorosoma_cepedianum,Cyprinus_carpio,Macrohybopsis_storeriana,Minytrema_melanops,Aplodinotus_grunniens,Phenocobius_mirabalis,Ellasoma_zonatum,Aphredoderus_sayanus,Lyrthrus_umbratilis,Lyrthrus_fumeus,Moxostoma_erythrurum,t_species,t_population
21,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,0,0,17,0,22,31,0,0,60,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,167
22,19,27,13,0,30,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,117
23,75,1,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,89
24,0,0,0,16,0,7,0,0,13,0,0,0,0,4,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,4,5,0,0,0,1,0,0,1,0,0,0,0,12,78
25,0,0,4,1,1,12,0,5,0,0,1,0,0,0,1,3,0,0,43,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,3,1,0,0,14,118
26,0,0,8,0,0,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,186
27,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,7,112
28,0,16,6,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,63,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,92
29,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,157,119,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,353
30,0,20,0,0,22,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,2,7,57
31,0,16,4,0,4,0,0,0,0,0,3,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,2,80,0,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,11,156
32,0,9,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0,17,0,51,0,0,0,25,19,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,141
