SiteN,State,Lat,Long,DO,pH,avg_WW,avg_Depth,pflow_Pool,pflow_Run,pflow_Riffle,pbottom_Mud,pbottom_Sand,pbottom_SmGravel,pbottom_LgGravel,pbottom_Cobble,pbottom_Boulder,pbottom_Bedrock,pfloat_macrophytes ,pfloat_wood ,upstreamCumDA_km2,slopePercent,avgMonthFlow_cfs,CV_flow,maxMonthFlow_cfs,minMonthFlow_cfs,Ameiurus,Aphredoderus,Aplodinotus,Campostoma,Cyprinella,Cyprinus,Dorosoma,Ellasoma,Erimyzon,Esox,Etheostoma,Fundulus,Gambusia,Ictalurus,Labidesthes,Lepisosteus,Lepomis,Lythrus,Macrohybopsis,Micropterus,Minytrema,Moxostoma,Nototropis,Notemigonus,Notropis,Noturus,Percina,Phenocobius,Pimephales,Semotilus,t_population,t_species
23,TX,33.784,-96.594,7.3,6.05,4.18333,21.16667,16.66667,50,33.33333,17.5,3.3,28.3,32.5,17.5,0.8,0,66.66666667,50,8.554,1.04,1.941666667,0.662346916,4.2,0.57,0,0,0,0,0,0,0,0,0,0,75,3,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,89,4
24,TX,33.505,-94.29,7.2,6.7,7.82333,60.33333,33.33333,66.66667,0,89.2,0,3.3,2.5,0,1.7,3.3,100,66.66667,54.093,0.1,25.21,0.754922102,53,4.9,0,0,0,0,0,0,0,1,0,1,7,19,4,0,4,0,36,0,0,0,1,0,0,5,0,0,0,0,0,0,78,9
25,TX,33.511,-94.138,10.2,7.1,4.8,39.66667,50,33.33333,16.66667,75.8,0,12.5,9.2,2.5,0,0,100,16.66666667,149.886,0.03,71.87583333,0.78548257,168.45,12.64,0,3,0,0,0,0,0,0,0,0,1,43,23,0,19,0,23,1,0,1,1,0,0,0,0,0,3,0,0,0,118,10
26,TX,33.503,-94.415,4.3,6.8,4.15833,21.25,16.66667,66.66666667,16.66667,81.7,0,2.5,2.1,0.4,13.3,0,33.33333,50,33.553,0.19,14.865,0.7569679,31.85,2.71,0,3,0,0,0,0,0,0,0,1,0,0,166,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,186,5
27,TX,33.565,-94.555,4.7,6.95,4.2,41,33.33333,66.66667,0,100,0,0,0,0,0,0,50,100,51.67,0.14,23.93916667,0.710031978,48.17,4.86,1,2,0,0,0,0,0,1,0,0,1,7,92,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,112,7
28,TX,33.658,-94.689,10.6,7.79,6.53333,41,33.33333,66.6667,0,85,0,3.3,3.3,3.3,5,0,100,0,81.639,0.05,13.05916667,0.702305879,26.69,2.74,0,0,0,0,0,0,0,0,0,0,0,2,63,0,0,0,24,0,0,1,0,0,0,1,0,0,0,0,1,0,92,6
29,TX,33.791,-95.443,6.9,7.46,7.25,25.41666,0,83.33333,16.66667,76.7,0.8,11.7,8.5,2.5,0,0,100,33.33333,388.817,0.1,140.2225,0.690852041,285.75,37.37,0,0,0,0,157,0,0,0,0,0,0,1,55,0,0,0,8,7,0,0,0,0,0,0,1,1,4,0,119,0,353,9
30,TX,33.857,-95.037,8.4,7.54,2.53333,29.66667,50,16.66667,33.33333,85.8,0,4.6,3.6,3.3,1.7,0,50,50,2.632,0.28,1.106666667,0.657788596,2.16,0.28,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,42,1,0,0,6,2,0,0,0,0,0,0,0,0,57,6
31,TX,33.78,-94.927,7.1,7.76,4.44446,19.33333,0,66.66667,33.33333,78.3,0,6.7,6.7,5,3.3,0,50,50,75.652,0.09,31.56416667,0.676958738,64.06,7.12,0,0,0,0,2,0,0,0,0,0,0,8,22,0,0,0,24,12,0,3,0,0,0,0,0,3,2,0,80,0,156,9
32,TX,33.717,-96.569,6.5,7.71,2.71666,17.33333,33.33333,16.66667,50,59.2,0,24.6,4.2,3.8,8.3,0,83.33333,50,114.669,0.19,26.46833333,0.67181501,58.26,7.71,0,0,0,17,25,0,0,0,0,0,0,13,2,0,0,0,11,0,0,2,0,0,0,0,51,1,0,0,19,0,141,9
33,TX,33.58,-96.619,6.8,7.4,4.4,17,33.33333,16.66666667,50,45,3.3,30.8,9.2,5.8,5.8,0,100,66.66666667,81.949,0.19,18.2275,0.696633247,40.7,5.51,2,0,0,25,47,0,0,0,0,0,0,11,51,0,0,0,15,5,0,2,0,0,0,0,24,0,0,0,12,0,194,10
34,TX,33.671,-96.715,6.5,7.71,3,26.33333,16.66667,66.66667,16.66667,85,0,5,2.9,2.9,3.3,0,33.33333,66.66667,16.123,0.38,3.555833333,0.698739588,8.08,1.08,1,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,158,3
35,OK,34.321,-96.707,9.9,8.28,11.3,37.5,33.33333333,50,16.66666667,25,5,15,9.2,15,35.8,5,66.66666667,16.66666667,192.838,0.18,48.36583333,0.65362334,99.59,12.96,0,0,0,13,0,0,0,0,0,0,32,2,4,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,13,0,69,7
36,OK,34.36,-96.788,11.9,8.52,7.83333,38,50,33.33333333,16.66666667,16.7,1.7,38.3,9.2,8.3,35.8,0,100,66.66666667,32.871,0.41,7.959166667,0.66163245,16.5,2.21,0,0,0,3,0,0,0,0,0,0,37,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,0,70,4
37,OK,34.085386,-96.731884,15.7,9.6,6.6,21.5,33.33333,16.66667,50,5.8,10.8,16.7,8.3,13.3,0,45,100,16.6666667,50.378,0.33,11.93416667,0.6580741,25.3,2.71,0,0,0,0,17,0,0,0,0,0,32,5,11,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,83,5
38,OK,34.061,-94.476,8.2,7.36,20.39166,38.25,0,66.66666667,33.33333333,5,0,38.3,39.2,16.7,0.8,0,50,16.6666667,136.115,0.22,79.60666667,0.60456268,137.7,15.87,0,0,0,31,0,0,0,0,0,0,31,0,1,0,0,0,15,0,0,0,0,0,3,0,2,0,0,0,0,0,83,6
39,OK,34.064,-94.645,9.2,7.12,14.16666,60.16666,50,50,0,10.8,5,32.5,27.5,12.5,3.3,8.3,66.66666667,50,18.29,0.6,9.715,0.61144792,17.14,1.97,1,0,0,0,0,0,0,0,5,1,106,1,2,0,0,0,54,0,0,0,0,0,5,0,0,1,0,0,0,0,176,9
40,OK,34.076,-94.852,8.2,7.36,6.65,23.41666,33.33333,33.33333,33.33333,1.7,7.5,30.8,20.8,11.7,0.8,26.7,0,50,30.791,0.3,15.17833333,0.61680912,27.09,3.31,0,0,0,8,0,0,0,0,5,0,76,0,1,0,0,0,11,0,0,0,0,0,12,0,0,0,0,0,0,1,114,7
41,OK,34.528,-95.489,13.9,7.31,7.88333,28.41666,16.66667,33.33333,50,6.7,0,14.2,13.3,26.7,36.7,2.5,100,66.66666667,19.615,0.88,10.4175,0.58449487,18.47,2.17,0,0,0,13,1,0,0,0,6,0,19,5,0,0,0,0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,67,7
42,OK,34.345,-95.634,9.1,7.25,2.73333,24.08333,33.33333,33.33333,33.33333,9.6,0,32.5,5.4,5.8,17.5,29.2,66.66666667,16.66666667,3.6,2.06,1.386666667,0.62251557,2.52,0.39,0,0,0,38,1,0,0,0,0,0,24,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,65,4
43,OK,34.02,-95.361,10.3,8,6.48333,12.08333,50,33.333333,16.66667,6.7,0,4.2,5.8,0.8,4.2,78.3,100,16.66666667,15.101,0.52,5.905833333,0.65223159,11.48,1.62,0,0,0,57,0,0,0,0,0,0,153,3,27,0,0,0,16,0,0,2,0,0,0,0,0,2,0,0,0,0,260,7
44,OK,34.607396,-96.558086,9,8.2,7.05,33.5,50,16.66667,33.33333,35,18.3,28.3,10.8,5.8,1.7,0,50,100,48.853,0.33,12.39583333,0.66995936,26.53,3.28,0,0,0,1,8,0,0,0,0,0,20,0,11,1,0,0,4,0,0,0,0,0,0,0,0,29,6,0,0,0,80,8
45,OK,34.329359,-96.419486,9.9,7.91,6.21666,44,33.33333,33.33333,33.33333,5,19.2,18.3,7.5,19.2,30.8,0,33.33333333,0,44.514,0.23,12.555,0.64559832,25.22,2.99,0,0,0,4,0,0,0,0,0,0,28,0,57,0,0,0,33,0,0,1,0,0,6,0,0,0,0,0,1,0,130,7
46,OK,34.485,-95.983,7.1,6.08,10.11666,47.25,33.33333,16.66667,50,7.5,0,27.5,32.5,21.7,8.3,2.5,50,16.66666667,37.539,0.29,12.39833333,0.67030338,24.6,3.14,0,0,0,6,0,0,0,0,0,0,44,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,1,0,78,5
