SiteN,State,Etheostoma_radiosum,Lepomis_megalotis,Lepomis_macrochirus,Lepomis_gulosus,Lepomis_cyanellus,Lepomis_marginatus,Lepomis_humilis,Lepomis_microlophus,Lepomis_spp,Micopterus_punctulatus,Micropterous_salmoides ,Etheostoma_parvipinne,Etheostoma_spectabile,Etheostomas_chlorosoma ,Etheostoma_gracile,Percina_sciera,Percina_phoxoxephala,Percina_caprodes,Fundulus_notatus,Fundulus_olivaceus,Campostoma_spacideum,Campostoma_anomalum,Nototropis_boops,Notropis_stramineus,Notropis_texanus,Notropis_volucellus,Cyprinella_venusta,Cyprinella_lutrensis,Pimephales_vigilax,Pimephales_notatus,Gambusia_affinis,Noturus_eleutherus,Noturus_sp,Ameiurus_natalis,Erimyzon_oblongus,Ictalurus_punctatus,Esox_americanus,Semotilus_atromaculatus,Lepisosteus_oculatus,Labidesthes_sicculus,Notemigonus_crysoleucas,Dorosoma_cepedianum,Cyprinus_carpio,Macrohybopsis_storeriana,Minytrema_melanops,Aplodinotus_grunniens,Phenocobius_mirabalis,Ellasoma_zonatum,Aphredoderus_sayanus,Lyrthrus_umbratilis,Lyrthrus_fumeus,Moxostoma_erythrurum
30,1,0,20,0,0,22,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,2
31,1,0,16,4,0,4,0,0,0,0,0,3,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,2,80,0,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
32,1,0,9,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0,17,0,51,0,0,0,25,19,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,0,10,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,11,0,0,25,0,24,0,0,0,47,12,0,51,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
34,1,0,14,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2,0,2,0,1,1,0,0,0,0,0,1,0,32,0,0,0,0,0,2,0,13,0,0,0,0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2,0,3,0,5,2,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2,32,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,17,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2,29,0,0,0,0,0,0,0,15,0,0,0,2,0,0,0,0,0,0,0,31,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2,87,1,0,11,5,0,0,0,37,0,0,0,16,0,3,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,2,1,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2,29,4,0,0,0,0,0,0,7,0,0,0,47,0,0,0,0,0,0,0,8,0,12,0,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2,19,1,0,0,13,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,13,0,1,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2,105,0,3,0,10,0,0,0,3,0,2,0,46,0,2,0,0,0,0,3,57,0,0,0,0,0,0,0,0,0,27,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2,5,1,0,2,1,0,0,0,0,0,0,0,10,0,5,6,0,0,0,0,0,1,0,0,0,0,8,0,0,0,11,0,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2,28,5,2,0,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2,44,0,0,3,15,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
